"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT08"
"USW00094726","41.67908","-70.95911","22.4","2021-09-26",,"76","52",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-09-27",,"77","49",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-09-28",,"74","60",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-09-29",,"66","48",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-09-30",,"65","48",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-10-01",,"69","44",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-10-02",,"73","43",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-10-03",,"76","54",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-10-04",,"63","57",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-10-05",,"63","56",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-10-06",,"72","50",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-10-07",,"74","48",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-10-08",,"74","49",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-10-09",,"64","52",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-10-10",,"65","54",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-10-11",,"74","55",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-10-12",,"74","53",,"    1",,"    1"
"USW00094726","41.67908","-70.95911","22.4","2021-10-13",,"75","49",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-10-14",,"76","55",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-10-15",,"70","52",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-10-16",,"75","62",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-10-17",,"66","51","    1",,,
"USW00094726","41.67908","-70.95911","22.4","2021-10-18",,"62","46",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-10-19",,"63","43",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-10-20",,"73","53",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-10-21",,"74","51",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-10-22",,"73","53",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-10-23",,"64","47",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-10-24",,"58","43",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-10-25",,"70","50",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-10-26",,"66","53",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-10-27",,,,,,,
"USW00094726","41.67908","-70.95911","22.4","2021-10-28",,,,,,,
"USW00094726","41.67908","-70.95911","22.4","2021-10-29",,,,,,,
