"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT08","WT09"
"USW00094726","41.67908","-70.95911","22.4","2022-04-13",,"68","36",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-04-14",,"65","47",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-04-15",,"67","47",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-04-16",,"63","45",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-04-17",,"52","36",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-04-18",,"54","28",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-04-19",,"56","44",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-04-20",,"59","36",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-04-21",,"59","31",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-04-22",,"68","40",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-04-23",,"60","32",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-04-24",,"54","42",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-04-25",,"60","37",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-04-26",,"54","41",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-04-27",,"60","42",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-04-28",,"53","39",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-04-29",,"58","39",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-04-30",,"58","35",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-05-01",,"65","33",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-05-02",,"55","37",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-05-03",,"58","46",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-05-04",,"59","48",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-05-05",,"68","49",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-05-06",,"63","45",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-05-07",,"51","46",,,,,
